국가명,지역,latitude,longitude,총인구(만명),남성인구(만명),여성인구(만명),인구밀도(명/㎢),인구증가율(%)
인도,남아시아,20.5937,78.9629,143807.0,74188.3,69618.6,483.7,0.885
중국,동아시아,35.8617,104.1954,142258.5,72522.3,69736.2,148.2,-0.236
인도네시아,동남아시아,-0.7893,113.9213,28119.0,14125.6,13993.4,147.1,0.828
파키스탄,남아시아,30.3753,69.3451,24750.4,12573.1,12177.3,321.1,1.48
방글라데시,남아시아,23.685,90.3563,17146.7,8435.8,8710.9,1317.3,1.214
일본,동아시아,36.2048,138.2529,12437.1,6070.0,6367.1,330.1,-0.482
필리핀,동남아시아,12.8797,121.774,11489.1,5731.1,5758.0,383.0,0.835
베트남,동남아시아,14.0583,108.2772,10035.2,4915.1,5120.1,320.2,0.644
태국,동남아시아,15.87,100.9925,7170.2,3495.0,3675.2,140.3,-0.037
미얀마,동남아시아,21.9162,95.956,5413.4,2695.6,2717.8,82.9,0.69
한국,동아시아,35.9078,127.7669,5174.9,2583.2,2591.7,523.0,-0.041
말레이시아,동남아시아,4.2105,101.9758,3512.6,1841.0,1671.6,106.9,1.241
캄보디아,동남아시아,12.5657,104.991,1742.4,853.4,889.0,96.2,1.253
싱가포르,동남아시아,1.3521,103.8198,578.9,299.2,279.7,8476.0,0.807
몽골,동아시아,46.8625,103.8467,343.2,171.2,172.0,2.2,1.302
