국가명,지역,기대수명_남녀(세),기대수명_남성(세),기대수명_여성(세),합계출산율(명),중위연령(세),영아사망률(출생천명당),인구증가율(%)
일본,동아시아,84.7,81.7,87.7,1.21,49.0,1.6,-0.482
한국,동아시아,84.3,81.2,87.2,0.72,44.5,2.1,-0.041
싱가포르,동남아시아,83.7,81.2,86.2,0.94,35.1,1.7,0.807
중국,동아시아,78.0,75.2,80.9,1.0,39.1,5.1,-0.236
말레이시아,동남아시아,76.7,74.3,79.4,1.55,30.1,6.4,1.241
태국,동남아시아,76.4,72.2,80.9,1.21,39.7,6.2,-0.037
방글라데시,남아시아,74.7,73.0,76.4,2.16,25.3,22.8,1.214
베트남,동남아시아,74.6,69.9,79.3,1.91,32.4,15.1,0.644
인도,남아시아,72.0,70.5,73.6,1.98,28.1,22.6,0.885
몽골,동아시아,71.7,67.2,76.4,2.69,26.8,10.6,1.302
인도네시아,동남아시아,71.1,69.0,73.3,2.13,29.8,17.1,0.828
캄보디아,동남아시아,70.7,68.0,73.2,2.58,25.8,19.2,1.253
필리핀,동남아시아,69.8,66.9,72.8,1.92,25.3,20.7,0.835
파키스탄,남아시아,67.6,65.3,70.2,3.6,20.3,49.4,1.48
미얀마,동남아시아,66.9,63.8,70.2,2.12,29.5,31.8,0.69
