국가명,지역,0-4세,5-9세,10-14세,15-19세,20-24세,25-29세,30-34세,35-39세,40-44세,45-49세,50-54세,55-59세,60-64세,65-69세,70-74세,75-79세,80-84세,85-89세,90-94세,95-99세,100세이상
중국,동아시아,58042.5,88623.4,89335.4,81483.0,79963.5,86906.5,112370.7,113220.6,98609.8,98839.7,122744.9,114074.1,74712.3,76352.2,58688.5,33702.7,20157.2,10638.8,3502.3,577.2,39.3
일본,동아시아,4142.1,4940.5,5405.7,5670.1,6072.9,6085.9,6151.0,6877.0,7656.4,9268.7,9648.8,8150.1,7535.4,7382.9,8745.1,7802.8,6140.6,3966.4,2002.3,606.2,120.0
몽골,동아시아,353.0,407.4,359.7,250.2,216.1,239.0,277.5,278.0,229.4,206.3,176.9,151.1,120.6,76.2,40.0,25.6,15.2,7.0,2.5,0.4,0.0
한국,동아시아,1358.3,2018.7,2300.3,2311.9,2972.7,3604.1,3508.1,3371.8,4061.0,3938.8,4478.8,4122.1,4214.0,3287.4,2227.0,1635.6,1300.8,695.7,270.2,62.9,8.6
방글라데시,남아시아,16505.1,15676.2,16448.3,17145.6,15895.4,15043.5,12785.3,12810.5,10861.7,8704.0,7450.0,6211.2,5092.5,4100.1,2973.0,1994.1,1114.0,486.5,146.1,22.8,1.2
인도,남아시아,114664.7,119740.8,125932.6,128248.5,129627.7,123619.4,117771.3,109919.8,97129.2,84595.0,73296.3,62289.4,51694.0,40655.2,27985.9,15943.7,8982.4,4294.2,1379.2,271.5,28.7
파키스탄,남아시아,31789.4,30276.7,29604.8,25861.1,23216.5,19977.1,17471.5,14962.2,12376.8,10030.1,8406.2,7196.1,5950.0,4388.2,2812.6,1861.0,923.8,324.0,69.4,6.8,0.2
캄보디아,동남아시아,1816.3,1760.7,1669.5,1605.7,1377.6,1345.5,1433.0,1340.0,1199.8,785.0,761.8,701.1,589.3,429.8,299.7,173.6,90.2,35.6,8.8,0.9,0.1
인도네시아,동남아시아,22348.7,23439.4,24325.7,23076.9,21949.1,21936.3,21044.3,20863.3,20572.1,18811.5,16977.1,14523.8,11502.1,8272.9,5245.2,3387.2,1927.4,777.5,185.3,23.1,1.3
말레이시아,동남아시아,2271.2,2790.0,2767.8,2852.8,3081.8,3131.1,3153.5,3037.6,2647.8,2115.9,1782.7,1542.4,1334.6,1031.8,746.2,433.0,235.8,116.5,41.4,10.7,2.0
미얀마,동남아시아,4431.9,4461.6,4377.8,4430.2,4507.0,4395.2,4222.3,4159.1,3863.7,3467.6,3110.5,2684.6,2184.7,1670.2,1124.1,599.4,299.7,115.6,25.9,2.6,0.1
필리핀,동남아시아,9602.2,11476.1,11789.3,11153.8,10745.1,10123.6,9274.4,7960.6,7108.7,6026.4,5336.9,4534.9,3713.5,2742.4,1778.7,895.2,421.8,163.7,38.7,5.0,0.2
싱가포르,동남아시아,228.7,224.9,228.8,375.9,554.9,601.2,567.4,469.1,417.6,374.0,347.4,328.8,312.3,270.4,206.9,127.3,81.3,44.6,20.5,5.9,1.1
태국,동남아시아,3102.3,3634.9,4082.4,4351.3,4672.1,5142.5,5103.9,5062.7,5365.9,5307.4,5471.0,5214.2,4638.5,3726.3,2760.8,1804.8,1170.3,700.3,297.1,81.3,12.5
베트남,동남아시아,7178.4,8182.6,8328.0,7134.5,6360.9,7070.0,8715.2,8490.2,7422.7,6498.6,6079.5,5472.5,4767.5,3545.5,2304.6,1270.5,802.2,476.5,199.1,46.5,6.7
